step,t,n_source_events,n_context_events,n_ingested_source,n_ingested_context,n_pruned_source,n_pruned_context,attention_n1,attention_n2,attention_n3,attention_n4,attention_n5,attention_n6,share_n1,share_n2,share_n3,share_n4,share_n5,share_n6,top1_neuron,top1_attention,top1_share,top1_margin
61,1.220000,4,4,0,1,0,1,0.060832,1.070929,0.108287,0.000000,0.000000,0.000000,0.049056,0.863619,0.087325,0.000000,0.000000,0.000000,2,1.070929,0.863619,0.776295
62,1.240000,3,4,0,0,1,0,0.060832,0.740818,0.108287,0.000000,0.000000,0.000000,0.066853,0.814143,0.119005,0.000000,0.000000,0.000000,2,0.740818,0.814143,0.695138
63,1.260000,3,3,0,0,0,1,0.000000,0.740818,0.108287,0.000000,0.000000,0.000000,0.000000,0.872470,0.127530,0.000000,0.000000,0.000000,2,0.740818,0.872470,0.744939
64,1.280000,3,3,0,0,0,0,0.000000,0.740818,0.108287,0.000000,0.000000,0.000000,0.000000,0.872470,0.127530,0.000000,0.000000,0.000000,2,0.740818,0.872470,0.744939
65,1.300000,4,3,1,0,0,0,0.000000,0.740818,0.180821,0.000000,0.000000,0.000000,0.000000,0.803805,0.196195,0.000000,0.000000,0.000000,2,0.740818,0.803805,0.607611
66,1.320000,4,4,0,1,0,0,0.000000,0.740818,0.180821,0.000000,0.000000,0.000000,0.000000,0.803805,0.196195,0.000000,0.000000,0.000000,2,0.740818,0.803805,0.607611
67,1.340000,3,4,0,0,1,0,0.000000,0.740818,0.180821,0.000000,0.000000,0.000000,0.000000,0.803805,0.196195,0.000000,0.000000,0.000000,2,0.740818,0.803805,0.607611
68,1.360000,4,4,1,1,0,1,0.000000,0.000000,0.180821,0.000000,0.740818,0.000000,0.000000,0.000000,0.196195,0.000000,0.803805,0.000000,5,0.740818,0.803805,0.607611
69,1.380000,3,4,0,0,1,0,0.000000,0.000000,0.180821,0.000000,0.740818,0.000000,0.000000,0.000000,0.196195,0.000000,0.803805,0.000000,5,0.740818,0.803805,0.607611
70,1.400000,3,3,0,0,0,1,0.000000,0.000000,0.108287,0.000000,0.740818,0.000000,0.000000,0.000000,0.127530,0.000000,0.872470,0.000000,5,0.740818,0.872470,0.744939
71,1.420000,3,3,0,0,0,0,0.000000,0.000000,0.108287,0.000000,0.740818,0.000000,0.000000,0.000000,0.127530,0.000000,0.872470,0.000000,5,0.740818,0.872470,0.744939
72,1.440000,4,3,1,0,0,0,0.000000,0.000000,0.108287,0.060832,0.740818,0.000000,0.000000,0.000000,0.119005,0.066853,0.814143,0.000000,5,0.740818,0.814143,0.695138
73,1.460000,4,4,0,1,0,0,0.000000,0.000000,0.108287,0.060832,1.070929,0.000000,0.000000,0.000000,0.087325,0.049056,0.863619,0.000000,5,1.070929,0.863619,0.776295
74,1.480000,3,4,0,0,1,0,0.000000,0.000000,0.060832,0.060832,1.070929,0.000000,0.000000,0.000000,0.051008,0.051008,0.897984,0.000000,5,1.070929,0.897984,0.846976
75,1.500000,4,5,1,1,0,0,0.000000,0.000000,0.060832,0.060832,1.992916,0.000000,0.000000,0.000000,0.028768,0.028768,0.942465,0.000000,5,1.992916,0.942465,0.913697
76,1.520000,4,5,0,0,0,0,0.000000,0.000000,0.060832,0.060832,1.992916,0.000000,0.000000,0.000000,0.028768,0.028768,0.942465,0.000000,5,1.992916,0.942465,0.913697
77,1.540000,4,5,0,0,0,0,0.000000,0.000000,0.060832,0.060832,1.992916,0.000000,0.000000,0.000000,0.028768,0.028768,0.942465,0.000000,5,1.992916,0.942465,0.913697
